"benchmark","replicate","clip_share_any","clip_share_x","clip_share_q","clip_share_t","n_points","total_weight"
"Example 2 practical",27,0.00679097605893186,0,0.00402854511970534,0.00276243093922652,43440,43440
"Example 2 practical",28,0.00708274894810659,0,0.00708274894810659,0,42780,42780
"Example 2 practical",29,0.00918653576437588,0,0.000771388499298738,0.00841514726507714,42780,42780
"Example 2 practical",30,0.00511233379183861,0,0.00236130215497478,0.00275103163686382,43620,43620
"Example 2 practical",31,0.00314735336194564,0,0.000286123032904149,0.00286123032904149,41940,41940
"Example 2 practical",32,0.0090258541089566,0,0.000715604801477378,0.00831024930747922,43320,43320
"Example 2 practical",33,0.00680952380952381,0,0.0010952380952381,0.00571428571428571,42000,42000
"Example 2 practical",34,0.00967220683287165,0,0.00828716528162511,0.00138504155124654,43320,43320
"Example 2 practical",35,0.00606694560669456,0,0.00188284518828452,0.00418410041841004,43020,43020
"Example 2 practical",36,0.00678403755868545,0,0.00255868544600939,0.00422535211267606,42600,42600
"Example 2 practical",37,0.00538389513108614,0,0.00117041198501873,0.00421348314606742,42720,42720
"Example 2 practical",38,0.00478796169630643,0,0.00205198358413133,0.0027359781121751,43860,43860
"Example 2 practical",39,0.00479905437352246,0,0.000543735224586288,0.00425531914893617,42300,42300
"Example 2 practical",40,0.00570054945054945,0,0.00157967032967033,0.00412087912087912,43680,43680
"Example 2 practical",41,0.00642791551882461,0,0.000918273645546373,0.00550964187327824,43560,43560
"Example 2 practical",42,0.00544827586206897,0,0.00131034482758621,0.00413793103448276,43500,43500
"Example 2 practical",43,0.00880018674136321,0,0.00179738562091503,0.00700280112044818,42840,42840
"Example 2 practical",44,0.00777460770328103,0,0.000641940085592011,0.00713266761768902,42060,42060
"Example 2 practical",45,0.00740482822655525,0,0.000441039925719591,0.00696378830083565,43080,43080
"Example 2 practical",46,0.00508747697974217,0,0.00232504604051565,0.00276243093922652,43440,43440
"Example 2 practical",47,0.00639204545454545,0,0.00497159090909091,0.00142045454545455,42240,42240
"Example 2 practical",48,0.00432269995376791,0,0.00154877484974572,0.00277392510402219,43260,43260
"Example 2 practical",49,0.00635135135135135,0,0.0022972972972973,0.00405405405405405,44400,44400
"Example 2 practical",50,0.00836810384793695,0,0.00141400092721372,0.00695410292072323,43140,43140
