"replicate","method","converged","beta_intercept","beta_intercept_gap_vs_reference","beta_x1","beta_x1_gap_vs_reference","delta","delta_gap_vs_reference","b","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","beta_intercept_error_vs_truth","beta_x1_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
14,"spline",TRUE,-0.40252959869393,-0.00277624488626987,1.30099748841399,0.000234299937455384,6.96651463392663,-0.0159946745704342,0.367924684643996,0.00268044943723827,0.966514633926626,0.0179246846439964,-0.0525295986939295,0.400997488413991,0.00380068698856917,0.0019930175917004
14,"chebyshev",TRUE,-0.40332639332643,-0.00357303951876992,1.30145858477427,0.000695396297736961,6.959010416227,-0.0234988922700561,0.368185158801928,0.00294092359516995,0.959010416227004,0.0181851588019281,-0.0533263933264296,0.401458584774272,0.00568052994410095,0.00297877624303816
15,"reference",TRUE,-0.748111066775355,0,1.22905746817063,0,7.59071574948003,0,0.204257071818044,0,1.59071574948003,-0.145742928181956,-0.398111066775355,0.329057468170629,0,0
15,"spline",TRUE,-0.746538964610916,0.00157210216443926,1.2270559215533,-0.00200154661732665,7.62275361010051,0.0320378606204823,0.223943860597856,0.0196867887798116,1.62275361010051,-0.126056139402144,-0.396538964610916,0.327055921553303,0.0618011068301882,0.0324386647306145
15,"chebyshev",TRUE,-0.74675531755747,0.00135574921788484,1.2263214606619,-0.00273600750872838,7.62192026405777,0.0312045145777375,0.230018528709073,0.0257614568910287,1.62192026405777,-0.119981471290927,-0.396755317557471,0.326321460661901,0.0980083660698767,0.0514434237637808
16,"reference",TRUE,-0.500741739885835,0,1.250914665833,0,5.92653092229691,0,0.443409210788643,0,-0.0734690777030904,0.0934092107886428,-0.150741739885835,0.350914665832998,0,0
16,"spline",FALSE,-0.516681053343504,-0.0159393134576686,1.24157188502316,-0.00934278080984186,5.86420374020971,-0.062327182087202,0.470092839619412,0.026683628830769,-0.135796259790292,0.120092839619412,-0.166681053343504,0.341571885023156,-0.0142963493363197,0.00883500632165439
16,"chebyshev",TRUE,-0.513463659869706,-0.0127219199838704,1.23692322125922,-0.0139914445737803,5.86328022890242,-0.063250693394485,0.46713166583051,0.0237224550418676,-0.136719771097575,0.11713166583051,-0.163463659869706,0.336923221259218,-0.0263314560919241,0.0162725864874817
17,"reference",TRUE,-0.203771927981009,0,0.366312453901766,0,7.92670991281842,0,0.304092446764763,0,1.92670991281842,-0.0459075532352365,0.146228072018991,-0.533687546098234,0,0
17,"spline",TRUE,-0.20444434813161,-0.000672420150601122,0.361873472181247,-0.00443898172051871,7.88685161060435,-0.0398583022140713,0.30574476632883,0.00165231956406664,1.88685161060435,-0.0442552336711698,0.14555565186839,-0.538126527818753,0.00746197256833625,0.00383405674654522
17,"chebyshev",TRUE,-0.203723186112258,4.8741868750285e-05,0.36140440137366,-0.00490805252810572,7.89187537707247,-0.034834535745949,0.303486390798036,-0.00060605596672797,1.89187537707247,-0.0465136092019645,0.146276813887742,-0.53859559862634,0.00586966375252018,0.00301590815353528
