"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
-2.5,0.25,0.56,0.479551943185493,0.478349877747617,0.00120206543787549,0.0148297754827712,0.155184555723414,"low_separation",5,1.875
-1.25,0.25,0.56,0.131098810708953,0.130795390057965,0.000303420650988484,0.0142030427294986,0.0478913076879332,"low_separation",5,1.875
0,0.25,0.56,0.0208427506323123,0.0205076982833986,0.000335052348913754,0.0170758740419852,0.0452852511122926,"low_separation",5,1.875
1.25,0.25,0.56,0.153843590859454,0.153444393646696,0.000399197212757468,0.0135347376069438,0.0258605050967812,"low_separation",5,1.875
2.5,0.25,0.56,0.292116788599083,0.292034652575458,8.21360236255564e-05,0.00163726335118367,0.0297653371470662,"low_separation",5,1.875
3.75,0.25,0.56,0.35280027663112,0.352722035885624,7.82407454956169e-05,0.00170874811551765,0.0199759660125566,"low_separation",5,1.875
-3.75,5.15,0.56,0.761509386789913,0.759968517435548,0.00154086935436482,0.0147160301137666,0.251138761024191,"transition",5,1.875
-2.5,5.15,0.56,0.303306803189504,0.302342704840681,0.000964098348822884,0.00857057187754497,0.11507853555925,"transition",5,1.875
-1.25,5.15,0.56,-0.0638225712465188,-0.0637186474278336,0.000103923818685153,0.00475906999212879,0.0412271273795458,"transition",5,1.875
0,5.15,0.56,-0.13953105550001,-0.13954346265406,1.24071540498205e-05,0.00148843062111477,0.0446263269717701,"transition",5,1.875
1.25,5.15,0.56,0.0465619393325949,0.0462717629606966,0.000290176371898265,0.00297924017254222,0.0157138594633714,"transition",5,1.875
2.5,5.15,0.56,0.241123120882208,0.241016048252562,0.000107072629646349,0.000611614496271046,0.00983244910911564,"transition",5,1.875
3.75,5.15,0.56,0.334968968456538,0.334861916594997,0.000107051861541752,0.000580281574669611,0.0109813778856239,"transition",5,1.875
-3.75,10.05,0.56,0.63532959948644,0.633960295616403,0.00136930387003709,0.0203572447587873,0.197676226843225,"interior_stable",5,1.875
-2.5,10.05,0.56,0.142537526918127,0.141732776997091,0.000804749921035547,0.00849099049909824,0.0909454557680526,"interior_stable",5,1.875
-1.25,10.05,0.56,-0.220047706234893,-0.21976399941867,0.000283706816223056,0.00482707333578292,0.0378166972390157,"interior_stable",5,1.875
0,10.05,0.56,-0.263300496358058,-0.263235818576193,6.46777818655297e-05,0.00173474620737845,0.0288162208286863,"interior_stable",5,1.875
1.25,10.05,0.56,-0.0490181916607499,-0.0492339761140795,0.000215784453329593,0.00151417013407465,0.00880302928695712,"interior_stable",5,1.875
2.5,10.05,0.56,0.187457916440483,0.18729970960463,0.000158206835853936,0.000460732294564322,0.00449917577798158,"interior_stable",5,1.875
