"replicate","method","converged","positive_definite","delta_hat","b_hat","lambda_min","lambda_max","condition_number","delta_se_proxy","b_se_proxy","relative_covariance_gap_vs_reference","abs_delta_se_gap_vs_reference","abs_b_se_gap_vs_reference"
6,"reference",TRUE,TRUE,4.95341285390226,0.311747516725622,11.2547134952127,366.777297650634,32.5887725002192,0.297949232519764,0.0529562743785079,NA,NA,NA
6,"spline",TRUE,TRUE,4.9968901036444,0.320266201359879,11.2076292275849,355.340433211324,31.7052273942769,0.29862766417425,0.0534851084220131,0.0103990052683933,0.000678431654486333,0.000528834043505247
6,"chebyshev",TRUE,TRUE,4.99674214117136,0.316427731348528,11.2038094390222,341.368645934696,30.4689800190398,0.298672243571488,0.054585999648423,0.00962036440049809,0.000723011051723788,0.00162972526991518
7,"reference",TRUE,TRUE,5.9818755029868,0.249030057207831,7.41386445271197,231.392984519511,31.2108463805092,0.367062648360349,0.0668512319819215,NA,NA,NA
7,"spline",TRUE,TRUE,6.03050624930994,0.309795319141934,7.39533295444426,181.672136577533,24.5657819190354,0.367600155236858,0.0747994885329687,0.0133855529607457,0.000537506876508165,0.00794825655104728
7,"chebyshev",TRUE,TRUE,6.02714129469942,0.317124174460221,7.39392917281256,196.276230539928,26.5455924654559,0.367637804891495,0.0719957876668353,0.0120745239022266,0.000575156531145371,0.00514455568491384
8,"reference",TRUE,TRUE,7.80490887505961,0.281859205480246,3.87800961708434,273.02454556261,70.4032667582402,0.507549091278523,0.0626165602405751,NA,NA,NA
8,"spline",TRUE,TRUE,7.81110528762157,0.295769396830624,4.29646543051657,272.226477825032,63.360565150015,0.482345383848388,0.0613661191506225,0.0986272072020081,0.0252037074301353,0.00125044108995259
8,"chebyshev",TRUE,TRUE,7.80848688962282,0.296568581117071,4.2879370679898,271.549867995329,63.3287904392292,0.482822330523046,0.0614616947617679,0.096802970371664,0.024726760755477,0.00115486547880724
9,"reference",TRUE,TRUE,6.64860495140391,0.493308312229948,6.26014834362721,188.747141106797,30.1505860158954,0.399523660563288,0.0736176724992877,NA,NA,NA
9,"spline",TRUE,TRUE,6.60165664242113,0.504270731619647,5.903639148967,165.992052016232,28.1169034603472,0.411278698755734,0.0791281456948187,0.0621487949156233,0.0117550381924457,0.00551047319553098
9,"chebyshev",TRUE,TRUE,6.59709974121333,0.506657273509421,5.90739910550277,169.999656624693,28.7774117828499,0.411165144575922,0.0781333697489096,0.0610747939526596,0.011641484012634,0.00451569724962193
10,"reference",TRUE,TRUE,6.5277003946634,0.344460137828494,6.39383014929175,300.185566855829,46.9492557429102,0.395340739900099,0.0586323170652582,NA,NA,NA
10,"spline",TRUE,TRUE,6.52423611716952,0.336689170360913,6.19747150607034,281.505186449158,45.4225866425407,0.401572090681016,0.0604012872388416,0.0317991257997947,0.00623135078091663,0.00176897017358343
10,"chebyshev",TRUE,TRUE,6.52091376306077,0.33747029317581,6.21640994451941,283.756012289712,45.6462837589855,0.400957556280912,0.0601809300319055,0.0286351423923788,0.00561681638081257,0.00154861296664727
