"x","q","t","value","nu","backend"
3.5,22.9166666666667,0,0,6,"series_reference"
4,22.9166666666667,0,0,6,"series_reference"
-4,25,0,0,6,"series_reference"
-3.5,25,0,0,6,"series_reference"
-3,25,0,0,6,"series_reference"
-2.5,25,0,0,6,"series_reference"
-2,25,0,0,6,"series_reference"
-1.5,25,0,0,6,"series_reference"
-1,25,0,0,6,"series_reference"
-0.5,25,0,0,6,"series_reference"
0,25,0,0,6,"series_reference"
0.5,25,0,0,6,"series_reference"
1,25,0,0,6,"series_reference"
1.5,25,0,0,6,"series_reference"
2,25,0,0,6,"series_reference"
2.5,25,0,0,6,"series_reference"
3,25,0,0,6,"series_reference"
3.5,25,0,0,6,"series_reference"
4,25,0,0,6,"series_reference"
-4,0,0.208333333333333,0.200714408947727,6,"series_reference"
-3.5,0,0.208333333333333,0.165494275967288,6,"series_reference"
-3,0,0.208333333333333,0.128857553441145,6,"series_reference"
-2.5,0,0.208333333333333,0.0924389619518216,6,"series_reference"
-2,0,0.208333333333333,0.0586197955948005,6,"series_reference"
-1.5,0,0.208333333333333,0.0303868038788178,6,"series_reference"
-1,0,0.208333333333333,0.0107208021830395,6,"series_reference"
-0.5,0,0.208333333333333,0.00145329344522341,6,"series_reference"
0,0,0.208333333333333,0.00210770308160291,6,"series_reference"
0.5,0,0.208333333333333,0.00977324653987782,6,"series_reference"
1,0,0.208333333333333,0.0204610822069247,6,"series_reference"
1.5,0,0.208333333333333,0.0309002792948191,6,"series_reference"
2,0,0.208333333333333,0.0393971646755572,6,"series_reference"
2.5,0,0.208333333333333,0.0455882037527991,6,"series_reference"
3,0,0.208333333333333,0.0497960091032476,6,"series_reference"
3.5,0,0.208333333333333,0.0525337443852516,6,"series_reference"
4,0,0.208333333333333,0.0542672907801462,6,"series_reference"
-4,2.08333333333333,0.208333333333333,0.191748709678924,6,"series_reference"
-3.5,2.08333333333333,0.208333333333333,0.155291584792384,6,"series_reference"
-3,2.08333333333333,0.208333333333333,0.117514045707369,6,"series_reference"
-2.5,2.08333333333333,0.208333333333333,0.0802436106989883,6,"series_reference"
-2,2.08333333333333,0.208333333333333,0.0460850102002724,6,"series_reference"
-1.5,2.08333333333333,0.208333333333333,0.0181679678766802,6,"series_reference"
-1,2.08333333333333,0.208333333333333,-0.000612227498775514,6,"series_reference"
-0.5,2.08333333333333,0.208333333333333,-0.00874587266511748,6,"series_reference"
0,2.08333333333333,0.208333333333333,-0.00699911956973642,6,"series_reference"
0.5,2.08333333333333,0.208333333333333,0.00173237621426289,6,"series_reference"
1,2.08333333333333,0.208333333333333,0.0136469991306038,6,"series_reference"
1.5,2.08333333333333,0.208333333333333,0.0255005429389588,6,"series_reference"
2,2.08333333333333,0.208333333333333,0.035416165030671,6,"series_reference"
2.5,2.08333333333333,0.208333333333333,0.042828780385395,6,"series_reference"
3,2.08333333333333,0.208333333333333,0.0479695260628708,6,"series_reference"
3.5,2.08333333333333,0.208333333333333,0.0513626166447934,6,"series_reference"
4,2.08333333333333,0.208333333333333,0.0535318745101813,6,"series_reference"
-4,4.16666666666667,0.208333333333333,0.182801347747773,6,"series_reference"
-3.5,4.16666666666667,0.208333333333333,0.145184099384197,6,"series_reference"
-3,4.16666666666667,0.208333333333333,0.106399561026476,6,"series_reference"
-2.5,4.16666666666667,0.208333333333333,0.0684797552225581,6,"series_reference"
-2,4.16666666666667,0.208333333333333,0.03423528403682,6,"series_reference"
-1.5,4.16666666666667,0.208333333333333,0.00687257155182752,6,"series_reference"
-1,4.16666666666667,0.208333333333333,-0.0108910122741973,6,"series_reference"
-0.5,4.16666666666667,0.208333333333333,-0.0179151965538761,6,"series_reference"
0,4.16666666666667,0.208333333333333,-0.0152306243306517,6,"series_reference"
0.5,4.16666666666667,0.208333333333333,-0.00567310861820605,6,"series_reference"
1,4.16666666666667,0.208333333333333,0.00719156761893827,6,"series_reference"
1.5,4.16666666666667,0.208333333333333,0.0202185286417655,6,"series_reference"
2,4.16666666666667,0.208333333333333,0.0314033742296116,6,"series_reference"
2.5,4.16666666666667,0.208333333333333,0.0399786609738041,6,"series_reference"
3,4.16666666666667,0.208333333333333,0.0460489149549735,6,"series_reference"
3.5,4.16666666666667,0.208333333333333,0.0501159233780218,6,"series_reference"
4,4.16666666666667,0.208333333333333,0.0527426876148182,6,"series_reference"
-4,6.25,0.208333333333333,0.173881141452271,6,"series_reference"
-3.5,6.25,0.208333333333333,0.135185311296878,6,"series_reference"
-3,6.25,0.208333333333333,0.0955304056058007,6,"series_reference"
-2.5,6.25,0.208333333333333,0.0571573562743534,6,"series_reference"
-2,6.25,0.208333333333333,0.0230543790439361,6,"series_reference"
-1.5,6.25,0.208333333333333,-0.003564694643824,6,"series_reference"
-1,6.25,0.208333333333333,-0.0202332878050358,6,"series_reference"
-0.5,6.25,0.208333333333333,-0.0261956675426672,6,"series_reference"
0,6.25,0.208333333333333,-0.0227079392669997,6,"series_reference"
0.5,6.25,0.208333333333333,-0.0125140869640745,6,"series_reference"
1,6.25,0.208333333333333,0.00107711012979969,6,"series_reference"
1.5,6.25,0.208333333333333,0.0150673297033604,6,"series_reference"
2,6.25,0.208333333333333,0.0273769685238172,6,"series_reference"
2.5,6.25,0.208333333333333,0.0370492494073295,6,"series_reference"
3,6.25,0.208333333333333,0.0440385568994299,6,"series_reference"
3.5,6.25,0.208333333333333,0.0487941890965344,6,"series_reference"
4,6.25,0.208333333333333,0.0518988559657043,6,"series_reference"
-4,8.33333333333333,0.208333333333333,0.16499705742683,6,"series_reference"
-3.5,8.33333333333333,0.208333333333333,0.125308402586327,6,"series_reference"
-3,8.33333333333333,0.208333333333333,0.0849212830748127,6,"series_reference"
-2.5,8.33333333333333,0.208333333333333,0.046282707081414,6,"series_reference"
-2,8.33333333333333,0.208333333333333,0.0125218418558775,6,"series_reference"
-1.5,8.33333333333333,0.208333333333333,-0.0132077103476608,6,"series_reference"
-1,8.33333333333333,0.208333333333333,-0.0287430015277273,6,"series_reference"
-0.5,8.33333333333333,0.208333333333333,-0.0337047835831636,6,"series_reference"
0,8.33333333333333,0.208333333333333,-0.0295308625649331,6,"series_reference"
0.5,8.33333333333333,0.208333333333333,-0.0188517124461863,6,"series_reference"
1,8.33333333333333,0.208333333333333,-0.00471487957316841,6,"series_reference"
1.5,8.33333333333333,0.208333333333333,0.0100563684927406,6,"series_reference"
2,8.33333333333333,0.208333333333333,0.0233533762229479,6,"series_reference"
2.5,8.33333333333333,0.208333333333333,0.034051988899689,6,"series_reference"
3,8.33333333333333,0.208333333333333,0.0419433392778426,6,"series_reference"
3.5,8.33333333333333,0.208333333333333,0.0473983049778821,6,"series_reference"
4,8.33333333333333,0.208333333333333,0.0509996750411632,6,"series_reference"
-4,10.4166666666667,0.208333333333333,0.156158163560435,6,"series_reference"
-3.5,10.4166666666667,0.208333333333333,0.115566139656969,6,"series_reference"
-3,10.4166666666667,0.208333333333333,0.0745851838108533,6,"series_reference"
-2.5,10.4166666666667,0.208333333333333,0.0358586322378733,6,"series_reference"
-2,10.4166666666667,0.208333333333333,0.00261394347007948,6,"series_reference"
-1.5,10.4166666666667,0.208333333333333,-0.0221179422202721,6,"series_reference"
-1,10.4166666666667,0.208333333333333,-0.0365116978075282,6,"series_reference"
-0.5,10.4166666666667,0.208333333333333,-0.0405410535438167,6,"series_reference"
0,10.4166666666667,0.208333333333333,-0.0357823489864784,6,"series_reference"
0.5,10.4166666666667,0.208333333333333,-0.0247389225322439,6,"series_reference"
1,10.4166666666667,0.208333333333333,-0.0102030687393899,6,"series_reference"
1.5,10.4166666666667,0.208333333333333,0.00519196919894041,6,"series_reference"
2,10.4166666666667,0.208333333333333,0.0193472331807365,6,"series_reference"
2.5,10.4166666666667,0.208333333333333,0.0309981967861948,6,"series_reference"
3,10.4166666666667,0.208333333333333,0.0397685896813843,6,"series_reference"
3.5,10.4166666666667,0.208333333333333,0.0459295261187618,6,"series_reference"
4,10.4166666666667,0.208333333333333,0.0500446206322821,6,"series_reference"
-4,12.5,0.208333333333333,0.147373579049271,6,"series_reference"
-3.5,12.5,0.208333333333333,0.105970771307863,6,"series_reference"
-3,12.5,0.208333333333333,0.0645333067928196,6,"series_reference"
-2.5,12.5,0.208333333333333,0.0258847411737529,6,"series_reference"
-2,12.5,0.208333333333333,-0.0066954583729209,6,"series_reference"
-1.5,12.5,0.208333333333333,-0.0303537846586376,6,"series_reference"
-1,12.5,0.208333333333333,-0.0436198864150772,6,"series_reference"
-0.5,12.5,0.208333333333333,-0.0467875427290311,6,"series_reference"
0,12.5,0.208333333333333,-0.0415319113580773,6,"series_reference"
0.5,12.5,0.208333333333333,-0.0302217015892558,6,"series_reference"
1,12.5,0.208333333333333,-0.015405828126894,6,"series_reference"
1.5,12.5,0.208333333333333,0.000477883535153795,6,"series_reference"
2,12.5,0.208333333333333,0.0153713942832361,6,"series_reference"
2.5,12.5,0.208333333333333,0.0278989181865377,6,"series_reference"
3,12.5,0.208333333333333,0.0375200045404771,6,"series_reference"
3.5,12.5,0.208333333333333,0.0443894639364558,6,"series_reference"
4,12.5,0.208333333333333,0.0490333581856093,6,"series_reference"
-4,14.5833333333333,0.208333333333333,0.138652422164033,6,"series_reference"
-3.5,14.5833333333333,0.208333333333333,0.0965339329245859,6,"series_reference"
-3,14.5833333333333,0.208333333333333,0.0547750143857436,6,"series_reference"
-2.5,14.5833333333333,0.208333333333333,0.0163577219039474,6,"series_reference"
-2,14.5833333333333,0.208333333333333,-0.0154341503014452,6,"series_reference"
-1.5,14.5833333333333,0.208333333333333,-0.0379701577513431,6,"series_reference"
-1,14.5833333333333,0.208333333333333,-0.050138335210079,6,"series_reference"
-0.5,14.5833333333333,0.208333333333333,-0.0525146807713341,6,"series_reference"
0,14.5833333333333,0.208333333333333,-0.0468382310872913,6,"series_reference"
0.5,14.5833333333333,0.208333333333333,-0.0353401355193307,6,"series_reference"
1,14.5833333333333,0.208333333333333,-0.0203409294389668,6,"series_reference"
1.5,14.5833333333333,0.208333333333333,-0.00408423975659702,6,"series_reference"
2,14.5833333333333,0.208333333333333,0.0114369889704524,6,"series_reference"
2.5,14.5833333333333,0.208333333333333,0.0247648008406702,6,"series_reference"
3,14.5833333333333,0.208333333333333,0.0352035744515972,6,"series_reference"
3.5,14.5833333333333,0.208333333333333,0.0427800738198657,6,"series_reference"
4,14.5833333333333,0.208333333333333,0.0479657505832967,6,"series_reference"
-4,16.6666666666667,0.208333333333333,0.13000375638178,6,"series_reference"
-3.5,16.6666666666667,0.208333333333333,0.0872665586167377,6,"series_reference"
-3,16.6666666666667,0.208333333333333,0.0453178193430285,6,"series_reference"
-2.5,16.6666666666667,0.208333333333333,0.00727166111655614,6,"series_reference"
-2,16.6666666666667,0.208333333333333,-0.0236308956715643,6,"series_reference"
-1.5,16.6666666666667,0.208333333333333,-0.0450183034459192,6,"series_reference"
-1,16.6666666666667,0.208333333333333,-0.0561292567111386,6,"series_reference"
-0.5,16.6666666666667,0.208333333333333,-0.0577824983170888,6,"series_reference"
0,16.6666666666667,0.208333333333333,-0.0517511840629014,6,"series_reference"
0.5,16.6666666666667,0.208333333333333,-0.0401292920675879,6,"series_reference"
1,16.6666666666667,0.208333333333333,-0.0250253554052892,6,"series_reference"
1.5,16.6666666666667,0.208333333333333,-0.00849444452367024,6,"series_reference"
2,16.6666666666667,0.208333333333333,0.00755350947286901,6,"series_reference"
2.5,16.6666666666667,0.208333333333333,0.0216059922144572,6,"series_reference"
3,16.6666666666667,0.208333333333333,0.0328255082096965,6,"series_reference"
3.5,16.6666666666667,0.208333333333333,0.0411036382566319,6,"series_reference"
4,16.6666666666667,0.208333333333333,0.0468418641828871,6,"series_reference"
-4,18.75,0.208333333333333,0.12143653559883,6,"series_reference"
-3.5,18.75,0.208333333333333,0.0781788028931855,6,"series_reference"
-3,18.75,0.208333333333333,0.036167402309184,6,"series_reference"
-2.5,18.75,0.208333333333333,-0.00138162229978675,6,"series_reference"
-2,18.75,0.208333333333333,-0.0313148692419887,6,"series_reference"
-1.5,18.75,0.208333333333333,-0.0515457298187233,6,"series_reference"
-1,18.75,0.208333333333333,-0.0616473765365602,6,"series_reference"
-0.5,18.75,0.208333333333333,-0.0626424191461821,6,"series_reference"
0,18.75,0.208333333333333,-0.056313429041231,6,"series_reference"
0.5,18.75,0.208333333333333,-0.0446199563112346,6,"series_reference"
1,18.75,0.208333333333333,-0.0294751906377522,6,"series_reference"
1.5,18.75,0.208333333333333,-0.012754114735523,6,"series_reference"
2,18.75,0.208333333333333,0.00372892163156419,6,"series_reference"
