"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
-3.75,19.85,0.56,0.392417273705951,0.391166497157692,0.0012507765482595,0.00473421873763197,0.0860642948971023,"interior_stable",5,1.875
-2.5,19.85,0.56,-0.132747070998772,-0.133061345545835,0.000314274547063176,0.00154860075216537,0.0261207308987921,"interior_stable",5,1.875
-1.25,19.85,0.56,-0.449130600349378,-0.449050722382461,7.98779669169969e-05,0.00122985198142768,0.00963579935671655,"interior_stable",5,1.875
0,19.85,0.56,-0.441926529489232,-0.441980469867288,5.39403780561165e-05,0.00116303118212788,0.00547916725625127,"interior_stable",5,1.875
1.25,19.85,0.56,-0.209428300458822,-0.209270627570936,0.000157672887885735,0.00162645841091591,0.00563352286401325,"interior_stable",5,1.875
2.5,19.85,0.56,0.0766476026965404,0.0764264605004747,0.000221142196065699,0.0023032231492841,0.00882925056662723,"interior_stable",5,1.875
3.75,19.85,0.56,0.265471504621302,0.264837659065767,0.000633845555535528,0.00172731779641066,0.0271973692960718,"interior_stable",5,1.875
-3.75,24.75,0.56,0.277007745678964,0.275881173310958,0.00112657236800567,0.0054079855448924,0.0887084658978797,"interior_stable",5,1.875
-2.5,24.75,0.56,-0.24845634456691,-0.248606560608238,0.000150216041327922,0.00155509863287249,0.0162484669786048,"interior_stable",5,1.875
-1.25,24.75,0.56,-0.533783588151904,-0.533722822894035,6.07652578688e-05,0.00154550734616139,0.0118865688833458,"interior_stable",5,1.875
0,24.75,0.56,-0.508552726969943,-0.508523473572701,2.92533972414688e-05,0.00136037830784258,0.00271264139237665,"interior_stable",5,1.875
1.25,24.75,0.56,-0.276670005872786,-0.276458620998225,0.000211384874560405,0.00175125574034862,0.0055102475519843,"interior_stable",5,1.875
2.5,24.75,0.56,0.0214224304758837,0.021169628261126,0.000252802214757653,0.00236008631097116,0.010316742503419,"interior_stable",5,1.875
3.75,24.75,0.56,0.23733648489387,0.236618068683464,0.000718416210406303,0.00210215931082429,0.0298844015022381,"interior_stable",5,1.875
-3.75,0.25,1.02,1.69949239423322,1.69314193537594,0.00635045885728469,0.0690027857159847,0.605962897184823,"low_separation",5,1.875
-2.5,0.25,1.02,0.99384237572048,0.994692872457202,0.00085049673672255,0.0262867469974621,0.150482058616441,"low_separation",5,1.875
-1.25,0.25,1.02,0.404824075373922,0.389394801325172,0.0154292740487498,0.0243168543376706,0.794193152998739,"low_separation",5,1.875
0,0.25,1.02,0.154730880254823,0.151887684890197,0.00284319536462652,0.0202325792738142,0.137906228581331,"low_separation",5,1.875
1.25,0.25,1.02,0.370701390801861,0.371906628379246,0.00120523757738544,0.0106076817097971,0.0555907051857221,"low_separation",5,1.875
2.5,0.25,1.02,0.750982704244809,0.750717101719846,0.000265602524962438,0.00797310438059828,0.0566284083697646,"low_separation",5,1.875
3.75,0.25,1.02,0.966916342991041,0.965615410804578,0.00130093218646299,0.0119609375129942,0.0965628829217748,"low_separation",5,1.875
-3.75,5.15,1.02,1.30270448861863,1.30853475092756,0.00583026230892747,0.0187296603802654,0.251384267272042,"transition",5,1.875
-2.5,5.15,1.02,0.413055938086778,0.41312605930247,7.01212156916653e-05,0.00234368571504517,0.0210973537564418,"transition",5,1.875
-1.25,5.15,1.02,-0.323755848017201,-0.323924462006303,0.000168613989101951,0.000237793272041169,0.00574883155602666,"transition",5,1.875
0,5.15,1.02,-0.514495623026699,-0.514345349900835,0.000150273125863687,0.000218386622705163,0.00998411285538711,"transition",5,1.875
1.25,5.15,1.02,-0.0567658206662345,-0.057046217345445,0.000280396679210475,0.00113301290581583,0.0126015439409409,"transition",5,1.875
2.5,5.15,1.02,0.551174362844373,0.551445367598143,0.000271004753769954,0.00249908324211706,0.0160257532112773,"transition",5,1.875
3.75,5.15,1.02,0.895355902609875,0.896794253998175,0.00143835138829973,0.00268596452888865,0.0585281341200497,"transition",5,1.875
-3.75,10.05,1.02,0.929133559551707,0.925656149005109,0.00347741054659834,0.00750836461251809,0.177055637560745,"interior_stable",5,1.875
-2.5,10.05,1.02,-0.0846022480931961,-0.0848499558962856,0.000247707803089497,0.00128259037888632,0.0100023719756063,"interior_stable",5,1.875
-1.25,10.05,1.02,-0.86244556463982,-0.862421681270931,2.38833688891438e-05,0.000340538217730908,0.00459613198122937,"interior_stable",5,1.875
0,10.05,1.02,-0.981452718131152,-0.981117740815284,0.000334977315868734,0.00113055652340087,0.02016998575482,"interior_stable",5,1.875
1.25,10.05,1.02,-0.410772222746656,-0.410469479833177,0.000302742913479426,0.00239952170302219,0.0130503647891596,"interior_stable",5,1.875
