"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"reference",1.01621638977435,0.400831770548463,0,0,-0.183783610225646,0.100831770548463,0,0,11.39,TRUE,14,14,20
"spline",1.00544146574145,0.409033819098284,-0.0107749240329011,0.00820204854982154,-0.194558534258547,0.109033819098284,0.286418247458641,0.00085307874030825,0.28000000000003,TRUE,16,16,20
"chebyshev",1.00542779097121,0.409049433994054,-0.0107885988031393,0.00821766344559144,-0.194572209028785,0.109049433994054,0.287494585165405,0.000856284544488601,0.439999999999998,TRUE,17,17,20
"reference",1.055982985758,0.293434771981805,0,0,-0.144017014241999,-0.00656522801819542,0,0,9.67000000000002,TRUE,12,12,21
"spline",1.04013889707215,0.3027332070664,-0.0158440886858544,0.0092984350845956,-0.159861102927853,0.00273320706640018,1.31861315955757,0.00442022615232241,0.199999999999989,TRUE,11,11,21
"chebyshev",1.04048776844566,0.302486220272378,-0.0154952173123453,0.00905144829057336,-0.159512231554344,0.00248622027237794,1.24367646373867,0.00416902500191186,0.759999999999991,TRUE,26,26,21
"reference",1.03541692987676,0.401583826030188,0,0,-0.164583070123238,0.101583826030188,0,0,11.46,TRUE,14,14,22
"spline",1.02094801543036,0.413045288215587,-0.0144689144464063,0.0114614621853985,-0.179051984569644,0.113045288215587,0.676541907989304,0.00191470052058797,0.25,TRUE,13,13,22
"chebyshev",1.02098028399959,0.412961645413783,-0.0144366458771679,0.0113778193835951,-0.179019716000405,0.112961645413783,0.665755625879683,0.00188417395641418,0.350000000000023,TRUE,13,13,22
"reference",1.05540575101476,0.341483976045242,0,0,-0.144594248985237,0.0414839760452418,0,0,9.81999999999999,TRUE,12,12,23
"spline",1.05919313241304,0.340453001467896,0.00378738139827717,-0.00103097457734563,-0.14080686758696,0.0404530014678962,0.111779644837952,0.000341252015708891,0.21999999999997,TRUE,12,12,23
"chebyshev",1.05954573447828,0.340225655047847,0.00413998346351607,-0.00125832099739481,-0.140454265521721,0.040225655047847,0.112478055732936,0.000343384193942698,0.360000000000014,TRUE,12,12,23
"reference",1.0162138597992,0.348437130619032,0,0,-0.183786140200797,0.0484371306190323,0,0,24.89,TRUE,31,31,24
"spline",1.00911072232194,0.353914652629899,-0.0071031374772601,0.0054775220108671,-0.190889277678057,0.0539146526298994,0.262674399993557,0.000815491241294454,0.25,TRUE,14,14,24
"chebyshev",1.00901356215065,0.35389833902853,-0.00720029764855168,0.00546120840949732,-0.190986437849349,0.0538983390285296,0.25270530744092,0.000784541488823224,0.360000000000014,TRUE,14,14,24
"reference",1.08089216348409,0.420760801740813,0,0,-0.119107836515911,0.120760801740813,0,0,11.44,TRUE,14,14,25
"spline",1.09353040673824,0.41282723229978,0.0126382432541488,-0.00793356944103257,-0.106469593261763,0.11282723229978,0.550815648624848,0.00142417047611049,0.279999999999973,TRUE,14,14,25
"chebyshev",1.09354399435039,0.412761619121309,0.0126518308663051,-0.00799918261950383,-0.106456005649606,0.112761619121309,0.544762380071916,0.00140851934786354,0.379999999999995,TRUE,14,14,25
"reference",1.03267449214609,0.264687806177149,0,0,-0.167325507853908,-0.0353121938228508,0,0,9.20000000000005,TRUE,12,12,26
"spline",1.04484784245618,0.266944836766237,0.0121733503100867,0.00225703058908788,-0.155152157543821,-0.033055163233763,5.70797397568094,0.0216891174927453,0.230000000000018,TRUE,12,12,26
