"replicate","method","delta","b","converged","delta_gap_vs_reference","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
13,"chebyshev",5.47876468220238,0.323105579388328,TRUE,0.0462374902467042,0.022460725134032,-0.52123531779762,-0.0268944206116716,0.0846227345036823,0.0703328098315078
14,"reference",5.9403922661163,0.440445937017882,TRUE,0,0,-0.0596077338836976,0.0904459370178821,0,0
14,"spline",6.06886974667498,0.44626094309124,TRUE,0.128477480558679,0.00581500607335805,0.0688697466749817,0.0962609430912402,0.0735704293073525,0.0505879590620317
14,"chebyshev",6.07205212356657,0.443768399111673,TRUE,0.131659857450271,0.00332246209379089,0.0720521235665732,0.093768399111673,0.0718077991566872,0.0493759522443082
15,"reference",6.69670363798137,0.342655594949894,TRUE,0,0,0.696703637981372,-0.00734440505010586,0,0
15,"spline",6.8066663787395,0.351823908897274,TRUE,0.109962740758125,0.00916831394737944,0.806666378739497,0.00182390889727357,0.138279546122874,0.0852089017713368
15,"chebyshev",6.80969735885145,0.349071432785098,TRUE,0.112993720870079,0.00641583783520389,0.809697358851451,-0.000928567214901976,0.130597915492416,0.0804754229005517
16,"reference",7.51000657130253,0.20849555821076,FALSE,0,0,1.51000657130253,-0.14150444178924,0,0
16,"spline",7.61062296382699,0.225734434296932,TRUE,0.100616392524459,0.0172388760861715,1.61062296382699,-0.124265565703068,0.0857289763447966,0.047935058060755
16,"chebyshev",7.60931582968852,0.223891468812935,TRUE,0.0993092583859907,0.0153959106021751,1.60931582968852,-0.126108531187065,0.0740559490847374,0.041408125589227
17,"reference",5.8307547806504,0.336244946849057,FALSE,0,0,-0.169245219349598,-0.0137550531509426,0,0
17,"spline",5.87247963792842,0.342253102776428,TRUE,0.0417248572780133,0.00600815592737031,-0.127520362071585,-0.00774689722357225,0.0148298664670961,0.0107522853949528
17,"chebyshev",5.86858885682255,0.344123242306086,TRUE,0.0378340761721452,0.00787829545702889,-0.131411143177453,-0.00587675769391366,0.0177851488163299,0.0128949910836474
18,"reference",5.34992526187421,0.353321977477837,TRUE,0,0,-0.650074738125788,0.0033219774778373,0,0
18,"spline",5.36565505540115,0.356309322891083,TRUE,0.0157297935269387,0.0029873454132453,-0.634344944598849,0.0063093228910826,0.00283730626989609,0.0023864199106476
18,"chebyshev",5.36623256481984,0.357493191113183,TRUE,0.0163073029456244,0.00417121363534584,-0.633767435180164,0.00749319111318314,0.00426681281105346,0.00358875851907137
19,"reference",5.47311675426817,0.440455201915036,TRUE,0,0,-0.526883245731832,0.0904552019150363,0,0
19,"spline",5.484013245346,0.4553655437979,TRUE,0.0108964910778315,0.0149103418828635,-0.515986754654,0.1053655437979,0.0220547274940657,0.0165994245563079
19,"chebyshev",5.48657337937532,0.453893382595909,TRUE,0.0134566251071542,0.0134381806808729,-0.513426620624678,0.103893382595909,0.0189548285525234,0.0142662949075215
20,"reference",7.32365193510552,0.295310907847391,TRUE,0,0,1.32365193510552,-0.054689092152609,0,0
20,"spline",7.42408735190561,0.312129810095384,TRUE,0.10043541680009,0.0168189022479928,1.42408735190561,-0.0378701899046162,0.0709791920959333,0.0408772214037702
20,"chebyshev",7.42394374826667,0.315089429378648,TRUE,0.100291813161155,0.0197785215312574,1.42394374826667,-0.0349105706213517,0.0865236033344274,0.0498293145598655
21,"reference",6.56275012147836,0.409745456618745,TRUE,0,0,0.562750121478356,0.0597454566187455,0,0
21,"spline",6.58357225477465,0.415336737803729,TRUE,0.0208221332962966,0.00559128118498392,0.583572254774652,0.0653367378037294,0.00605587886855119,0.00367530648144309
21,"chebyshev",6.57971186975797,0.411411127910244,TRUE,0.0169617482796145,0.00166567129149842,0.57971186975797,0.0614111279102439,0.00145692271144071,0.00088420485292843
22,"reference",5.08696634593075,0.23994523639622,TRUE,0,0,-0.91303365406925,-0.11005476360378,0,0
