"x","q","t","region","q_low_cut","t_high_cut","series_reference","geomodels_reference","abs_diff","rel_diff"
-3.75,14.95,0.1,"interior_stable",5,1.875,0.028858149767035,0.0288581497671386,1.03639319348758e-13,1.03639319348758e-13
-2.5,14.95,0.1,"interior_stable",5,1.875,0.00397675102892228,0.00397675102895097,2.86853873987525e-14,2.86853873987525e-14
-1.25,14.95,0.1,"interior_stable",5,1.875,-0.010694693172916,-0.010694693172735,1.80928189097429e-13,1.80928189097429e-13
0,14.95,0.1,"interior_stable",5,1.875,-0.0109251471289144,-0.0109251471288911,2.32938668354166e-14,2.32938668354166e-14
1.25,14.95,0.1,"interior_stable",5,1.875,-0.00283434831527849,-0.00283434831501191,2.66585364894212e-13,2.66585364894212e-13
2.5,14.95,0.1,"interior_stable",5,1.875,0.00576409009599103,0.00576409009600757,1.65423230669148e-14,1.65423230669148e-14
3.75,14.95,0.1,"interior_stable",5,1.875,0.0106231409372035,0.0106231409372402,3.67345043272849e-14,3.67345043272849e-14
-3.75,19.85,0.1,"interior_stable",5,1.875,0.0237871826392921,0.0237871826393737,8.16569034611803e-14,8.16569034611803e-14
-2.5,19.85,0.1,"interior_stable",5,1.875,-0.00086085450408422,-0.000860854504066921,1.72986625024407e-14,1.72986625024407e-14
-1.25,19.85,0.1,"interior_stable",5,1.875,-0.0139791613253265,-0.0139791613252042,1.22242493905134e-13,1.22242493905134e-13
0,19.85,0.1,"interior_stable",5,1.875,-0.013419112164838,-0.0134191121648252,1.27571564423334e-14,1.27571564423334e-14
1.25,19.85,0.1,"interior_stable",5,1.875,-0.00522308213784071,-0.00522308213767171,1.69003699923564e-13,1.69003699923564e-13
2.5,19.85,0.1,"interior_stable",5,1.875,0.00405267367479514,0.00405267367576302,9.67885493974308e-13,9.67885493974308e-13
3.75,19.85,0.1,"interior_stable",5,1.875,0.0098522228532153,0.00985222285324783,3.25295346215171e-14,3.25295346215171e-14
-3.75,24.75,0.1,"interior_stable",5,1.875,0.018917065227959,0.0189170652280247,6.57321419517132e-14,6.57321419517132e-14
-2.5,24.75,0.1,"interior_stable",5,1.875,-0.0051472669490253,-0.00514726694901501,1.02903796594944e-14,1.02903796594944e-14
-1.25,24.75,0.1,"interior_stable",5,1.875,-0.0167162735872374,-0.0167162735871398,9.76267677810227e-14,9.76267677810227e-14
0,24.75,0.1,"interior_stable",5,1.875,-0.0155397331677912,-0.0155397331677823,8.88525364395321e-15,8.88525364395321e-15
1.25,24.75,0.1,"interior_stable",5,1.875,-0.00738405527787095,-0.00738405527776219,1.08760223049842e-13,1.08760223049842e-13
2.5,24.75,0.1,"interior_stable",5,1.875,0.00233694019539263,0.00233694019612719,7.34558247561523e-13,7.34558247561523e-13
3.75,24.75,0.1,"interior_stable",5,1.875,0.00900608939701985,0.00900608939704797,2.8123336992536e-14,2.8123336992536e-14
-3.75,0.25,0.56,"low_separation",5,1.875,0.88989174368243,0.889891744607883,9.2545304752889e-10,9.2545304752889e-10
-2.5,0.25,0.56,"low_separation",5,1.875,0.479551943185493,0.479551945475753,2.29026042575242e-09,2.29026042575242e-09
-1.25,0.25,0.56,"low_separation",5,1.875,0.131098810708953,0.131098811080856,3.7190317492275e-10,3.7190317492275e-10
0,0.25,0.56,"low_separation",5,1.875,0.0208427506323123,0.0208427506581714,2.58590926449642e-11,2.58590926449642e-11
1.25,0.25,0.56,"low_separation",5,1.875,0.153843590859454,0.153843590862793,3.3388847242577e-12,3.3388847242577e-12
2.5,0.25,0.56,"low_separation",5,1.875,0.292116788599083,0.292116788600699,1.61604063464438e-12,1.61604063464438e-12
3.75,0.25,0.56,"low_separation",5,1.875,0.35280027663112,0.352800276632169,1.0493828028757e-12,1.0493828028757e-12
-3.75,5.15,0.56,"transition",5,1.875,0.761509386789913,0.761509387388323,5.9840976618375e-10,5.9840976618375e-10
-2.5,5.15,0.56,"transition",5,1.875,0.303306803189504,0.30330680414472,9.55215906373041e-10,9.55215906373041e-10
-1.25,5.15,0.56,"transition",5,1.875,-0.0638225712465188,-0.0638225711802631,6.62556676189752e-11,6.62556676189752e-11
0,5.15,0.56,"transition",5,1.875,-0.13953105550001,-0.139531055488071,1.1939116362214e-11,1.1939116362214e-11
1.25,5.15,0.56,"transition",5,1.875,0.0465619393325949,0.0465619393349672,2.37232455901903e-12,2.37232455901903e-12
2.5,5.15,0.56,"transition",5,1.875,0.241123120882208,0.241123120882974,7.65609797781508e-13,7.65609797781508e-13
3.75,5.15,0.56,"transition",5,1.875,0.334968968456538,0.334968968457349,8.10462807976364e-13,8.10462807976364e-13
-3.75,10.05,0.56,"interior_stable",5,1.875,0.63532959948644,0.635329599868095,3.81654263748032e-10,3.81654263748032e-10
-2.5,10.05,0.56,"interior_stable",5,1.875,0.142537526918127,0.142537527316243,3.9811554053415e-10,3.9811554053415e-10
-1.25,10.05,0.56,"interior_stable",5,1.875,-0.220047706234893,-0.220047706142998,9.18947140604587e-11,9.18947140604587e-11
0,10.05,0.56,"interior_stable",5,1.875,-0.263300496358058,-0.263300496349421,8.63720206467633e-12,8.63720206467633e-12
1.25,10.05,0.56,"interior_stable",5,1.875,-0.0490181916607499,-0.0490181916587131,2.03681516097731e-12,2.03681516097731e-12
2.5,10.05,0.56,"interior_stable",5,1.875,0.187457916440483,0.187457916441709,1.2259082637911e-12,1.2259082637911e-12
3.75,10.05,0.56,"interior_stable",5,1.875,0.314429941872986,0.314429941873585,5.9929838869266e-13,5.9929838869266e-13
-3.75,14.95,0.56,"interior_stable",5,1.875,0.512069490307828,0.51206949054822,2.40392594719196e-10,2.40392594719196e-10
-2.5,14.95,0.56,"interior_stable",5,1.875,-0.00267669627798073,-0.00267669611095211,1.67028613162756e-10,1.67028613162756e-10
-1.25,14.95,0.56,"interior_stable",5,1.875,-0.346254535609629,-0.346254535586758,2.28707053295807e-11,2.28707053295807e-11
0,14.95,0.56,"interior_stable",5,1.875,-0.361735202584282,-0.361735202582603,1.6787682355357e-12,1.6787682355357e-12
1.25,14.95,0.56,"interior_stable",5,1.875,-0.133942947521375,-0.133942947519306,2.06923367329637e-12,2.06923367329637e-12
2.5,14.95,0.56,"interior_stable",5,1.875,0.132285027374,0.132285027374524,5.24247312227999e-13,5.24247312227999e-13
3.75,14.95,0.56,"interior_stable",5,1.875,0.291227272304996,0.291227272305419,4.2321701698711e-13,4.2321701698711e-13
-3.75,19.85,0.56,"interior_stable",5,1.875,0.392417273705951,0.392417273855722,1.49770640334168e-10,1.49770640334168e-10
